"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","FRANKLIN","047","","","00000000","","CORN","TOTAL","NOT SPECIFIED","35,100","0.4","34,300","1.1","6,370,000","2.1","185.7","1.7"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","JEFFERSON","077","","","00000000","","CORN","TOTAL","NOT SPECIFIED","16,000","0.5","15,400","2.9","2,834,000","4.9","184","3.9"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","JENNINGS","079","","","00000000","","CORN","TOTAL","NOT SPECIFIED","30,300","0.3","29,800","1.1","5,370,000","2.4","180.2","2.1"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CORN","TOTAL","NOT SPECIFIED","39,400","0.5","38,400","3.1","6,409,000","5.4","166.9","4.4"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","SCOTT","143","","","00000000","","CORN","TOTAL","NOT SPECIFIED","13,600","0.6","13,300","1.1","2,483,000","5","186.7","4.9"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHEAST","90","SWITZERLAND","155","","","00000000","","CORN","TOTAL","NOT SPECIFIED","6,400","2.1","6,250","2.3","1,120,000","3.5","179.2","2.6"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHWEST","70","DAVIESS","027","","","00000000","","CORN","TOTAL","NOT SPECIFIED","73,200","0.1","72,000","1.2","14,227,000","2","197.6","1.7"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHWEST","70","DUBOIS","037","","","00000000","","CORN","TOTAL","NOT SPECIFIED","51,200","0.1","50,000","1.2","8,990,000","5.8","179.8","5.6"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHWEST","70","GIBSON","051","","","00000000","","CORN","TOTAL","NOT SPECIFIED","91,500","0.2","90,500","1.2","17,847,000","3.8","197.2","3.6"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHWEST","70","KNOX","083","","","00000000","","CORN","TOTAL","NOT SPECIFIED","99,400","0.4","98,400","0.9","19,513,000","2.7","198.3","2.6"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHWEST","70","MARTIN","101","","","00000000","","CORN","TOTAL","NOT SPECIFIED","14,200","1.4","13,800","2","2,546,000","3.1","184.5","2.3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHWEST","70","PIKE","125","","","00000000","","CORN","TOTAL","NOT SPECIFIED","29,200","0.2","28,600","1","4,768,000","2.9","166.7","2.7"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHWEST","70","POSEY","129","","","00000000","","CORN","TOTAL","NOT SPECIFIED","78,200","0.1","76,900","1","14,872,000","3.4","193.4","3.2"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHWEST","70","SULLIVAN","153","","","00000000","","CORN","TOTAL","NOT SPECIFIED","58,600","0.2","57,800","1.1","10,751,000","3.5","186","3.4"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHWEST","70","VANDERBURGH","163","","","00000000","","CORN","TOTAL","NOT SPECIFIED","25,900","0.3","25,500","1.1","4,871,000","3.3","191","3.1"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","SOUTHWEST","70","WARRICK","173","","","00000000","","CORN","TOTAL","NOT SPECIFIED","32,600","0.3","31,900","1.1","5,713,000","4.7","179.1","4.5"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","CLAY","021","","","00000000","","CORN","TOTAL","NOT SPECIFIED","52,300","0.1","51,100","1.1","9,878,000","2.6","193.3","2.4"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","FOUNTAIN","045","","","00000000","","CORN","TOTAL","NOT SPECIFIED","85,700","0.1","83,700","1.1","16,029,000","5.5","191.5","5.4"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","OWEN","119","","","00000000","","CORN","TOTAL","NOT SPECIFIED","20,400","0.6","19,900","1.2","3,517,000","5.6","176.7","5.5"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","PARKE","121","","","00000000","","CORN","TOTAL","NOT SPECIFIED","57,900","0.1","56,600","1.1","10,380,000","2.8","183.4","2.6"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","PUTNAM","133","","","00000000","","CORN","TOTAL","NOT SPECIFIED","62,600","0.2","61,200","1","12,295,000","1.5","200.9","1.2"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","TIPPECANOE","157","","","00000000","","CORN","TOTAL","NOT SPECIFIED","89,600","0.1","87,500","1.1","16,503,000","3.1","188.6","2.9"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","VERMILLION","165","","","00000000","","CORN","TOTAL","NOT SPECIFIED","44,300","0.2","43,300","1.1","8,647,000","2","199.7","1.7"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","WEST CENTRAL","40","VIGO","167","","","00000000","","CORN","TOTAL","NOT SPECIFIED","42,000","0.2","41,100","1","7,645,000","3.1","186","2.9"
"SURVEY","2022","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","5,250,000","","5,130,000","","974,700,000","","190",""
